Short description,Description,Caller,Assignment group,New_Assignment_Groups,Text_length,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
login issue,login issue verify user detail employee manager name check user name ad reset password advise user login check caller confirm able login issue resolve,spxjnwir pjlcoqds,GRP_0,GRP_0,206,0.0,0.9093000292778015,"user, issue, tool, unable, access, error, need, work, help, system","['issue', 'verify', 'user', 'detail', 'employee', 'manager', 'name', 'user', 'ad', 'able', 'issue', 'resolve']"
outlook,outlook hello team meeting skype meeting etc appear outlook calendar somebody please advise correct kind,hmjdrvpb komuaywn,GRP_0,GRP_0,194,0.0,0.9855999946594238,"user, issue, tool, unable, access, error, need, work, help, system","['meet', 'meet', 'appear', 'outlook', 'calendar', 'advise', 'correct', 'kind']"
cant log in to vpn,log vpn hi log vpn well,eylqgodm ybqkwiam,GRP_0,GRP_0,87,0.0,0.9103999733924866,"user, issue, tool, unable, access, error, need, work, help, system",['well']
unable to access hr_tool page,unable access hr tool page unable access hr tool page,xbkucsvz gcpydteq,GRP_0,GRP_0,29,0.0,0.9883999824523926,"user, issue, tool, unable, access, error, need, work, help, system","['unable', 'access', 'hr', 'tool', 'page', 'unable', 'access', 'hr', 'tool', 'page']"
skype error ,skype error skype error,owlgqjme qhcozdfx,GRP_0,GRP_0,12,0.0,0.9103999733924866,"user, issue, tool, unable, access, error, need, work, help, system",['error']
unable to log in to engineering tool and skype,unable log engineering tool skype unable log engineering tool skype,eflahbxn ltdgrvkz,GRP_0,GRP_0,46,0.0,0.9836000204086304,"user, issue, tool, unable, access, error, need, work, help, system","['unable', 'engineering', 'tool', 'unable', 'log', 'engineering', 'tool']"
event: critical:HostName_221.company.com the value of mountpoint threshold for /oracle/SID_37/erpdata21/ ,event critical hostname company com value mountpoint threshold oracle sid erpdata event critical hostname company com value mountpoint threshold oracle sid erpdata srpsad srpsad data perpsrpsad,jyoqwxhz clhxsoqy,GRP_1,GRP_1,153,2.0,0.6385999917984009,"job, scheduler, fail, event, device, pron, ticket, abended, access, outside","['event', 'critical', 'hostname', 'company', 'com', 'value', 'event', 'critical', 'hostname', 'company', 'com', 'value', 'data', 'perpsrpsad']"
ticket_no1550391- employment status - new non-employee [enter user's name],ticket employment status new non employee enter user name ticket employment status new non employee enter user name,eqzibjhw ymebpoih,GRP_0,GRP_0,74,0.0,0.991599977016449,"user, issue, tool, unable, access, error, need, work, help, system","['ticket', 'new', 'non', 'employee', 'enter', 'user', 'name', 'ticket', 'new', 'non', 'employee', 'enter', 'user', 'name']"
unable to disable add ins on outlook,unable disable add outlook unable disable add outlook,mdbegvct dbvichlg,GRP_0,GRP_0,36,0.0,0.9855999946594238,"user, issue, tool, unable, access, error, need, work, help, system","['unable', 'disable', 'add', 'outlook', 'unable', 'disable', 'add', 'outlook']"
ticket update on inplant_874773,ticket update inplant ticket update inplant,fumkcsji sarmtlhy,GRP_0,GRP_0,31,2.0,0.954800009727478,"job, scheduler, fail, event, device, pron, ticket, abended, access, outside","['ticket', 'update', 'inplant', 'ticket', 'update', 'inplant']"
